<0.167 m/s,,,,,,,,,,,,,,,>0.167 m/s,,,,,,,,,,,
Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),,Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s)
-57,0.107728522,-21,0.080352824,-16,0.051534948,,,-39,0.072911278,-1,0.055469203,,,,-2,0.16164218,-5,0.063506327,,,,,,,,
-56,0.108411461,-20,0.07757945,-15,0.049792426,,,-38,0.072716081,0,0.054842808,,,,-1,0.156670733,-4,0.058541435,,,,,,,,
-55,0.109059802,-19,0.074789131,-14,0.047961482,,,-37,0.072490909,,,,,,0,0.151547981,-3,0.053679277,,,,,,,,
-54,0.109671689,-18,0.071985394,-13,0.046047052,,,-36,0.072233934,,,,,,,,-2,0.048938609,,,,,,,,
-53,0.110244809,-17,0.069171165,-12,0.044054989,,,-35,0.071943721,,,,,,,,-1,0.044338253,,,,,,,,
-52,0.11077662,-16,0.06634895,-11,0.041992291,,,-34,0.07161932,,,,,,,,0,0.039896848,,,,,,,,
-51,0.111264517,-15,0.063521026,-10,0.039867387,,,-33,0.071260214,,,,,,,,,,,,,,,,,
-50,0.111705836,-14,0.060689508,-9,0.037690342,,,-32,0.070866121,,,,,,,,,,,,,,,,,
-49,0.112097668,-13,0.057856345,-8,0.035472866,,,-31,0.070436735,,,,,,,,,,,,,,,,,
-48,0.112436706,-12,0.055023382,-7,0.033228049,,,-30,0.069971529,,,,,,,,,,,,,,,,,
-47,0.112719358,-11,0.052192544,-6,0.030969884,,,-29,0.069469657,,,,,,,,,,,,,,,,,
-46,0.112942224,-10,0.049366147,-5,0.028712736,,,-28,0.068929959,,,,,,,,,,,,,,,,,
-45,0.113102684,-9,0.046547247,-4,0.02647088,,,-27,0.06835098,,,,,,,,,,,,,,,,,
-44,0.113199287,-8,0.043739974,-3,0.024258123,,,-26,0.067731015,,,,,,,,,,,,,,,,,
-43,0.113231726,-7,0.040949778,-2,0.022087536,,,-25,0.067068235,,,,,,,,,,,,,,,,,
